ocd-division/country:us/state:al
ocd-division/country:us/state:az
ocd-division/country:us/state:ar
ocd-division/country:us/state:ca
ocd-division/country:us/state:co
ocd-division/country:us/state:ct
ocd-division/country:us/state:fl
ocd-division/country:us/state:ga
ocd-division/country:us/state:hi
ocd-division/country:us/state:id
ocd-division/country:us/state:il
ocd-division/country:us/state:in
ocd-division/country:us/state:ia
ocd-division/country:us/state:ks
ocd-division/country:us/state:ky
ocd-division/country:us/state:la
ocd-division/country:us/state:me
ocd-division/country:us/state:md
ocd-division/country:us/state:ma
ocd-division/country:us/state:mi
ocd-division/country:us/state:mn
ocd-division/country:us/state:ms
ocd-division/country:us/state:mo
ocd-division/country:us/state:ne
ocd-division/country:us/state:nv
ocd-division/country:us/state:nh
ocd-division/country:us/state:nj
ocd-division/country:us/state:nm
ocd-division/country:us/state:ny
ocd-division/country:us/state:nc
ocd-division/country:us/state:oh/cd:1
ocd-division/country:us/state:oh/cd:2
ocd-division/country:us/state:oh/cd:3
ocd-division/country:us/state:oh/cd:4
ocd-division/country:us/state:oh/cd:5
ocd-division/country:us/state:oh/cd:6
ocd-division/country:us/state:oh/cd:7
ocd-division/country:us/state:oh/cd:8
ocd-division/country:us/state:oh/cd:9
ocd-division/country:us/state:oh/cd:10
ocd-division/country:us/state:oh/cd:11
ocd-division/country:us/state:oh/cd:12
ocd-division/country:us/state:oh/cd:13
ocd-division/country:us/state:oh/cd:14
ocd-division/country:us/state:oh/cd:15
ocd-division/country:us/state:oh/cd:16
ocd-division/country:us/state:ok
ocd-division/country:us/state:or
ocd-division/country:us/state:pa/cd:1
ocd-division/country:us/state:pa/cd:2
ocd-division/country:us/state:pa/cd:3
ocd-division/country:us/state:pa/cd:4
ocd-division/country:us/state:pa/cd:5
ocd-division/country:us/state:pa/cd:6
ocd-division/country:us/state:pa/cd:7
ocd-division/country:us/state:pa/cd:8
ocd-division/country:us/state:pa/cd:9
ocd-division/country:us/state:pa/cd:10
ocd-division/country:us/state:pa/cd:11
ocd-division/country:us/state:pa/cd:12
ocd-division/country:us/state:pa/cd:13
ocd-division/country:us/state:pa/cd:14
ocd-division/country:us/state:pa/cd:15
ocd-division/country:us/state:pa/cd:16
ocd-division/country:us/state:pa/cd:17
ocd-division/country:us/state:pa/cd:18
ocd-division/country:us/state:ri
ocd-division/country:us/state:sc
ocd-division/country:us/state:tn
ocd-division/country:us/state:tx
ocd-division/country:us/state:ut
ocd-division/country:us/state:va
ocd-division/country:us/state:wa
ocd-division/country:us/state:wv
ocd-division/country:us/state:wi
ocd-division/country:us/state:vt
ocd-division/country:us/state:wy
ocd-division/country:us/state:mt
ocd-division/country:us/state:nd
ocd-division/country:us/state:sd
ocd-division/country:us/state:de
ocd-division/country:us/territory:gu
ocd-division/country:us/territory:mp
ocd-division/country:us/territory:as
ocd-division/country:us/territory:pr
ocd-division/country:us/territory:vi
ocd-division/country:us/territory:ot
ocd-division/country:us/territory:dt
ocd-division/country:us/territory:pi
